date,Event Name,Meeting Place,Person,Source PDF
2023-08-23,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - August 2023.pdf
2023-08-24,13 14 15 16 17 18 19 10 11 12 13 14 15 16,20 21 22 23 24 25 26 17 18 19 20 21 22 23; 27 28 29 30 31 24 25 26 27 28 29 30,,AG Taylor Calendar - August 2023.pdf
2023-08-25,CAIi with Prime Buchholz,,,AG Taylor Calendar - August 2023.pdf
2023-08-25,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - August 2023.pdf
2023-08-25,801 I,,"Motter, Jane W.",AG Taylor Calendar - August 2023.pdf
2023-08-25,FW: MDT II-State AGs U0date Call,,,AG Taylor Calendar - August 2023.pdf
2023-08-25,AS 45.50.5~,,,AG Taylor Calendar - August 2023.pdf
2023-08-26,,,,AG Taylor Calendar - August 2023.pdf
2023-08-27,13 14 15 16 17 18 19 10 11 12 13 14 15 16,20 21 22 23 24 25 26 17 18 19 20 21 22 23; 27 28 29 30 31 24 25 26 27 28 29 30,,AG Taylor Calendar - August 2023.pdf
2023-08-28,From Aug 27 Personal Leave To Aug 29 ➔,,,AG Taylor Calendar - August 2023.pdf
2023-08-29,I,From Aug 27 Personal Leave,,AG Taylor Calendar - August 2023.pdf
2023-08-30,13 14 15 16 17 18 19 10 11 12 13 14 15 16,20 21 22 23 24 25 26 17 18 19 20 21 22 23; 27 28 29 30 31 24 25 26 27 28 29 30,,AG Taylor Calendar - August 2023.pdf
2023-08-31,13 14 15 16 17 18 19 10 11 12 13 14 15 16,20 21 22 23 24 25 26 17 18 19 20 21 22 23; 27 28 29 30 31 24 25 26 27 28 29 30,,AG Taylor Calendar - August 2023.pdf
2023-09-01,End of pay period - submit leave slips or NLT ASAP,,"West, Kelly M (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-01,Meeting AG Taylor/Jessie Alloway/Carla Erickson/Stacie Kraly/Cori Mills/Mags Paton-Walsh/Chris Robison re Briefing,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-01,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Nin",AG Taylor Calendar - September 2023.pdf
2023-09-01,"PH: AG, Comm. Vincent-Lang","Dunleavy, Governor (GOV sponsored",,AG Taylor Calendar - September 2023.pdf
2023-09-01,MTG: Staff,ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-01,Press Conference,ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-02,,,,AG Taylor Calendar - September 2023.pdf
2023-09-03,,,,AG Taylor Calendar - September 2023.pdf
2023-09-04,Labor Day - State Holiday,,,AG Taylor Calendar - September 2023.pdf
2023-09-05,Ongoing Litigation,1400/; Microsoft Teams Meeting,"Boyle, John C (DNR)",AG Taylor Calendar - September 2023.pdf
2023-09-05,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-05,Meeting AG Taylor/Zjok Durst/Cori Mills re DOR Matter,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-05,Meeting AG Taylor/Ian Engelbeck/Cori Mills/Mags Paton-Walsh/Jeff Pickett re Antitrust,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-05,"4:00-4:30 PM: PH: DCOS, AG, Cori","Teleconference: ,, Code: #","Bylsma, Rachel E (GOV)",AG Taylor Calendar - September 2023.pdf
2023-09-06,Meeting AG Taylor/Rebecca Hattan/Liz Leduc re Board Question,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-06,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-06,"MTG: AG, Cori Mills",ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-06,MTG: Attorney General,LG Office / Anchorage,"Dahlstrom, LT. Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-06,"MTG: Comm. Boyle, John Crowther, AG, Craig Richards, Bent Goodrum, Cori Mills",ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-07,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-07,Meeting AG Taylor/Amber LeBlanc/Cori Mills re Contract,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-07,Economic Development Sub-Cabinet Meeting,Microsoft Teams Meeting,"Vaught, Laura K (CED)",AG Taylor Calendar - September 2023.pdf
2023-09-07,Meeting AG Taylor/Jessie Alloway/Ryan Bravo/Cori Mills/Mags Paton-Walsh/Susan Sonneborn re Regulations,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-07,"MTG: Comm Boyle, AG Taylor, Staff","Gallagher, Tyson C (GOV)",,AG Taylor Calendar - September 2023.pdf
2023-09-08,Check In AG Taylor/Sam Curtis,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-08,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-08,Meeting DEC/DFG/DNR/LAW re Presentation,"Atwood, DNR, Suite 1400","Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-08,Meeting AG Taylor/Cori Mills/Comm. Pokon re Legal Services,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-08,"MTG: AG, Cori Mills",ANC,"Dunleavy, Governor (GOV sponsored); Lunch",AG Taylor Calendar - September 2023.pdf
2023-09-09,,,,AG Taylor Calendar - September 2023.pdf
2023-09-10,,,,AG Taylor Calendar - September 2023.pdf
2023-09-11,Work on List,,,AG Taylor Calendar - September 2023.pdf
2023-09-11,Meeting AG Taylor/Cori Mills/Randy Ruaro/Curtis Thayer re Legal Services,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-11,3:00 PM: MTG: Administrative Cabinet,BOI; /ANC North Conf Room; / JNU Cabinet,"Gallagher, Tyson C (GOV)",AG Taylor Calendar - September 2023.pdf
2023-09-11,Meeting AG Taylor/Sen. Hughes re Privacy Clause,"AG's Office, 1031 W. 4th Ave. Suite 200,; Anchorage, AK 99501 (Brady Bldg, across from",,AG Taylor Calendar - September 2023.pdf
2023-09-11,Meeting AG Taylor/Angie Kemp/Jessica Leeah/Cori Mills/John Skidmore re Recruitment,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-12,"PH: Interview: Gary Soberay, Alaska Public Defender",,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-12,"PH: Interview: Terrence Haas, Alaska Public Defender",,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-12,"PH: Interview: Kate Demarest, Anchorage Superior Court",,"Gallagher, Tyson C (GOV)",AG Taylor Calendar - September 2023.pdf
2023-09-12,"PH: Interview: David Nesbett, Anchorage Superior Court",,"Gallagher, Tyson C (GOV)",AG Taylor Calendar - September 2023.pdf
2023-09-12,"PH: Interview: Danee Pontious, Anchorage Superior Court",,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-12,"PH: Interview: Kari McCrea, Anchorage Superior Court",,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-12,Meeting AG Taylor/Rebecca Hattan/Cori Mills/Dan Wilkerson re Insurance Rates,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-12,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-13,Western States Water Council Presentation with DEC/DFG/DNR,"Aloft Anchorage (310 W 36th; Ave, Anchorage, AK 99503)","Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-13,"MTG: AG, Comm. Bishop, James Fields",ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-13,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-14,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-14,Op-Ed Review,,,AG Taylor Calendar - September 2023.pdf
2023-09-14,Statehood Defense,Microsoft Teams Meeting,"Mills, Cori M (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-14,Meeting AG Taylor/Ian Engelbeck/Cori Mills/Mags Paton-Walsh/Jeff Pickett re Antitrust,In Person ANC 6th Fl Conf - by the AG's Office,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-15,Check In AG Taylor/Sam Curtis,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-15,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-15,End of pay period - submit leave slips or NLT ASAP,,"West, Kelly M (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-15,WOTUS Meeting,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-16,,,,AG Taylor Calendar - September 2023.pdf
2023-09-17,,,,AG Taylor Calendar - September 2023.pdf
2023-09-18,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting; BOI,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-18,Executive Team Meeting,TEAMS,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-18,Teleconference AG Taylor/Bill Satterberg re Fairbanks,AG to Call,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-18,Meeting re Amicus,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-18,LAW FY25 Budget Development Prep,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-18,Meeting AG Taylor/Cori Mills/Anne Nelson/Ron Opsahl re Navigability,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-18,Meeting AG Taylor/Cori Mills/Parker Patterson/Rebecca Polizzotto/Kaci Schroeder/John Skidmore re LAW Legislative Proposals,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-19,Economic Development Subcommittee - ESG Workgroup,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-20,Canceled: Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,,AG Taylor Calendar - September 2023.pdf
2023-09-20,BOI,LAW Legislative Proposals,"Stidolph, Laura B (GOV)",AG Taylor Calendar - September 2023.pdf
2023-09-20,BOI,In person meeting 1:25PM Teleconference AG Taylor/Kris Curtis/Cori Mills,,AG Taylor Calendar - September 2023.pdf
2023-09-20,Criminal Justice Working Group Meeting,BOI,Lesa Robertson,AG Taylor Calendar - September 2023.pdf
2023-09-21,3:30-3:45 PM: MTG: AG Treg Taylor,,"Bylsma, Rachel E (GOV)",AG Taylor Calendar - September 2023.pdf
2023-09-21,Statehood Defense,Microsoft Teams Meeting; BOI,"Mills, Cori M (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-22,Gas Line Subcabinet - September Meeting,Microsoft Teams Meeting,"Crum, Adam R (DOR)",AG Taylor Calendar - September 2023.pdf
2023-09-22,BOI,Teleconference AG Taylor/Jim Minnery; Mr. Minnery to Call,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-22,Check In AG Taylor/Sam Curtis,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-23,Personal appt.,,,AG Taylor Calendar - September 2023.pdf
2023-09-24,,,,AG Taylor Calendar - September 2023.pdf
2023-09-25,"MTG: AG, Cori Mills",ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - September 2023.pdf
2023-09-25,Meeting re Elections Matter,Zoom Link Below,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-25,Meeting AG Taylor/Lael Harrison/Cori Mills/Chris Robison re Sett,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-25,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Nin",AG Taylor Calendar - September 2023.pdf
2023-09-25,Chief's Conference,5th Floor Conf Room,,AG Taylor Calendar - September 2023.pdf
2023-09-26,"8:00am 2023 District Attorney Conference (Egan Center - 555 W 5th Avenue, Anchorage, AK 99501) - Saporito, Tiffany J (LAW) To Sep 28",,,AG Taylor Calendar - September 2023.pdf
2023-09-26,Meeting LAW/DNR/Craig Richards re Navigability,"In Person - ANC AG's; Office, Brady Bldg, 6th Floor Conf Room/Teams","Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-26,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-26,Opening Remarks,,,AG Taylor Calendar - September 2023.pdf
2023-09-27,"From Sep 26 2023 District Attorney Conference (Egan Center - 555 W 5th Avenue, Anchorage, AK 99501) - Saporito, Tiffany J To Sep 28",,,AG Taylor Calendar - September 2023.pdf
2023-09-27,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-27,Criminal Div Awards Ceremony,,,AG Taylor Calendar - September 2023.pdf
2023-09-28,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-28,Check In AG Taylor/Sam Curtis,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-28,Statehood Defense,Microsoft Teams Meeting,"Mills, Cori M (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-28,"From Sep 26 2023 District Attorney Conference (Egan Center - 555 W 5th Avenue, Anchorage, AK 99501) - Saporito, Tiffany J (L 5:00pm",,,AG Taylor Calendar - September 2023.pdf
2023-09-29,appt.,,,AG Taylor Calendar - September 2023.pdf
2023-09-29,End of pay period - submit leave slips or NLT ASAP,,"West, Kelly M (LAW)",AG Taylor Calendar - September 2023.pdf
2023-09-29,Personal Leave - UT,,,AG Taylor Calendar - September 2023.pdf
2023-09-30,,,,AG Taylor Calendar - September 2023.pdf
2023-10-01,Personal appt.,,,AG Taylor Calendar - October 2023.pdf
2023-10-02,FY25 Law Budget Development,BOI; GOV CONF OMB JUNEAU 8TH FLOOR (GOV; sponsored),"Sanders, Lacey M (GOV)",AG Taylor Calendar - October 2023.pdf
2023-10-02,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-02,Meeting AG Taylor/Stacie Kraly/Cori Mills re Pro Bono,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-02,Prep for HUM Meeting,Microsoft Teams Meeting,"Mills, Cori M (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-03,Teleconference AG Taylor/Angie Kemp/Bill Satterberg,Teleconference: #),"Taylor, Treg R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-03,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-03,Meeting AG Taylor/Jessie Alloway/Kate Demarest/Cori Mills/Mags Paton Walsh re Litigation,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-04,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-04,Meeting AG Taylor/Comm. Boyle/DC Crowther/Mary Gramling re Briefing,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-05,Exec Team Meeting re Travel,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-05,Meeting AG Taylor/Cori Mills/Rebecca Polizzotto re Legislation,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-05,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-05,Copy: Copy: Economic Development Sub-cabinet Meeting,Microsoft Teams Meeting,"Anderson, Ryan (DOT)",AG Taylor Calendar - October 2023.pdf
2023-10-05,Statehood Defense,Microsoft Teams Meeting,"Mulligan, Benjamin J (DFG)",AG Taylor Calendar - October 2023.pdf
2023-10-06,10:00-11:00 AM: MTG: Cabinet Ethics Training,GOV CONF EXEC: ANC North Conf Rm; JNU Cabinet Rm,"Bylsma, Rachel E (GOV)",AG Taylor Calendar - October 2023.pdf
2023-10-06,Meeting AG Taylor/Jessie Alloway/Cori Mills/Ben Monarch/Anne Nelson/Julie Pack/Aaron Peterson/Craig Richards/Matea,,,AG Taylor Calendar - October 2023.pdf
2023-10-06,AC/AWP,,,AG Taylor Calendar - October 2023.pdf
2023-10-06,Wasend/David Wilkinson re,Zoom,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-06,Check In AG Taylor/Mary Gramling,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-06,PH: AG,"Dunleavy, Governor (GOV sponsored)",,AG Taylor Calendar - October 2023.pdf
2023-10-06,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-07,,,,AG Taylor Calendar - October 2023.pdf
2023-10-08,,,,AG Taylor Calendar - October 2023.pdf
2023-10-09,Meeting AG Taylor/Cody Doig/Cori Mills/Comm. Pokon re Complaint,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-09,"*2:30-3:30 PM: MTG: AG, Cori Mills",ANC-WEST Cabinet Rm.,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - October 2023.pdf
2023-10-09,Check In AG Taylor/Cori Mills,AG's Office/; Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-10,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-10,Sign Cards,,,AG Taylor Calendar - October 2023.pdf
2023-10-11,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-11,Economic Development Sub-Cabinet Meeting,Microsoft Teams Meeting,"Sande, Julie A (CED)",AG Taylor Calendar - October 2023.pdf
2023-10-12,Statehood Defense,Microsoft Teams Meeting,"Mulligan, Benjamin J (DFG)",AG Taylor Calendar - October 2023.pdf
2023-10-12,Teleconference AG Taylor,,", Access Code #; Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-12,Copy: Copy: Economic Development Sub-cabinet Meeting,Microsoft Teams Meeting,"Anderson, Ryan (DOT)",AG Taylor Calendar - October 2023.pdf
2023-10-12,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-13,Personal appt.,,,AG Taylor Calendar - October 2023.pdf
2023-10-13,End of pay period - submit leave slips or NLT ASAP,,"West, Kelly M (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-14,,,,AG Taylor Calendar - October 2023.pdf
2023-10-15,,,,AG Taylor Calendar - October 2023.pdf
2023-10-16,AC/AWP,,,AG Taylor Calendar - October 2023.pdf
2023-10-16,3:30PM MT: Meeting re Presentation,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-16,Meeting AG Taylor/Cori Mills/Mags Paton-Walsh/Jeff Pickett re Setlement,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-16,Meeting AG Taylor/Richard Carter/Stacie Kraly/Cori Mills/Kelly West re Nominations,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-16,Meeting AG Taylor/Joe Balash/Mary Gramling/Tali Kindred/Stacie Kraly/Stephen Luna re Litigation,ANC AG's Office/; Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-17,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-17,Meeting AG Taylor/Mary Gramling/Stacie Kraly re Litigation Matter,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-17,LUNCH,,,AG Taylor Calendar - October 2023.pdf
2023-10-18,Alaska Day - State Holiday,,,AG Taylor Calendar - October 2023.pdf
2023-10-19,Wear Purple,,,AG Taylor Calendar - October 2023.pdf
2023-10-19,Copy: Copy: Economic Development Sub-cabinet Meeting,Microsoft Teams Meeting,"Anderson, Ryan (DOT)",AG Taylor Calendar - October 2023.pdf
2023-10-19,Executive Team/LAW Management Meeting,TEAMS,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-19,Statehood Defense,Microsoft Teams Meeting,"Mulligan, Benjamin J (DFG)",AG Taylor Calendar - October 2023.pdf
2023-10-19,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-19,BOI,Call with Attorney General Taylor; Microsoft Teams Meeting; or call,,AG Taylor Calendar - October 2023.pdf
2023-10-20,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting; AC,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-20,AIDEA Third Floor Conference Room / Microsoft Teams Meeting,,Randy Ruaro,AG Taylor Calendar - October 2023.pdf
2023-10-20,"2:00 PM: MTG: AG Taylor, Cori Mills, Laura Stidolph, Rebecca Polizzotto",BOI; ANC East Conf Room/ #,"Gallagher, Tyson C (GOV)",AG Taylor Calendar - October 2023.pdf
2023-10-20,Check In AG Taylor/Sam Curtis,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-21,,,,AG Taylor Calendar - October 2023.pdf
2023-10-22,,,,AG Taylor Calendar - October 2023.pdf
2023-10-23,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-24,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-24,Supervisory Meeting (monthly),Microsoft Teams Meeting,"West, Kelly M (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-24,Settlement,Microsoft Teams Meeting,"Mills, Cori M (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-25,AC/AWP,,,AG Taylor Calendar - October 2023.pdf
2023-10-25,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-25,F/up Meeting re,,,AG Taylor Calendar - October 2023.pdf
2023-10-25,Microsoft Teams Meeting,,"Mills, Cori M (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-26,"MTG: AG, Corey Mills, Comm. Hedberg",ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - October 2023.pdf
2023-10-26,Statehood Defense,Microsoft Teams Meeting,"Mulligan, Benjamin J (DFG)",AG Taylor Calendar - October 2023.pdf
2023-10-26,2023 AG Awards Ceremony!,Microsoft Teams Meeting,"West, Kelly M (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-26,Copy: Copy: Economic Development Sub-cabinet Meeting,Microsoft Teams Meeting,"Anderson, Ryan (DOT)",AG Taylor Calendar - October 2023.pdf
2023-10-26,Check in AG Taylor/Cori Mills,Microsoft Teams Meeting,"Wilson, Terrie A (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-27,End of pay period - submit leave slips or NLT ASAP,,"West, Kelly M (LAW)",AG Taylor Calendar - October 2023.pdf
2023-10-27,AGA Delegation To Nov 4,,,AG Taylor Calendar - October 2023.pdf
2023-10-28,From Oct 27 AGA Delegation To Nov 4,,,AG Taylor Calendar - October 2023.pdf
2023-10-29,From Oct 27 AGA Delegation To Nov 4,,,AG Taylor Calendar - October 2023.pdf
2023-10-30,From Oct 27 AGA Delegation To Nov 4,,,AG Taylor Calendar - October 2023.pdf
2023-10-31,From Oct 27 AGA Delegation To Nov 4,,,AG Taylor Calendar - October 2023.pdf
2023-11-05,,,,AG Taylor Calendar - November 2023.pdf
2023-11-18,,,,AG Taylor Calendar - November 2023.pdf
2023-11-19,,,,AG Taylor Calendar - November 2023.pdf
2023-12-01,From Nov 25 Personal Leave To Dec 5,,,AG Taylor Calendar - December 2023.pdf
2023-12-02,From Nov 25 Personal Leave To Dec 5,,,AG Taylor Calendar - December 2023.pdf
2023-12-03,From Nov 25 Personal Leave To Dec 5,,,AG Taylor Calendar - December 2023.pdf
2023-12-04,From Nov 25 Personal Leave To Dec 5,,,AG Taylor Calendar - December 2023.pdf
2023-12-05,From Nov 25 Personal Leave,,,AG Taylor Calendar - December 2023.pdf
2023-12-06,Antitrust Issue,TEAMS,,AG Taylor Calendar - December 2023.pdf
2023-12-06,Meeting AG Taylor/Zjok Durst/Cori Mills re Proposed Amendment,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2023.pdf
2023-12-06,"MTG: Howie Chandler, MG Saxe, AG Taylor, Jordan Shilling","Gallagher, Tyson C (GOV)",,AG Taylor Calendar - December 2023.pdf
2023-12-06,Check In AG Taylor/Stacie Kraly/Cori Mills re Civil Division,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2023.pdf
2023-12-07,"MTG: AG, Cori Mills",ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2023.pdf
2023-12-07,Check In AG Taylor/Cori Mills,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2023.pdf
2023-12-07,Teleconference AG Taylor/Rep. McCabe re Inquiry,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2023.pdf
